pieecatID:ID,name,title,:LABEL
awar001,Award,PIEE Award Modules,PortfolioCategory
oper001,Operational Support,PIEE Operational Support Modules,PortfolioCategory
othe001,Other,PIEE Other Modules,PortfolioCategory
paym001,Payment,PIEE Payment Modules,PortfolioCategory
post001,Post Award Admin,PIEE Post Award Admin Modules,PortfolioCategory
prop001,Property Management,PIEE Property Management Modules,PortfolioCategory
purc001,Purchase Card,PIEE Purchase Card Modules,PortfolioCategory
requ001,Requirements,PIEE Requirements Modules,PortfolioCategory
secu001,Security,PIEE Security Modules,PortfolioCategory
