:START_ID,name,:END_ID,:TYPE
dbb0300400,DBB-30.04,bp001000701,PERFORMED_IN
dbb0300500,DBB-30.05,bp000220101,PERFORMED_IN
dbb0300500,DBB-30.05,bp001000201,PERFORMED_IN
dbb0300500,DBB-30.05,bp001000701,PERFORMED_IN
dbb0300600,DBB-30.06,bp000220101,PERFORMED_IN
dbb0300600,DBB-30.06,bp001000201,PERFORMED_IN
dbb0300600,DBB-30.06,bp001000701,PERFORMED_IN
dbb0310000,DBB-31,bp000220101,PERFORMED_IN
dbb0310000,DBB-31,bp001000201,PERFORMED_IN
dbb0310000,DBB-31,bp001000701,PERFORMED_IN
dbb0310100,DBB-31.01,bp000220101,PERFORMED_IN
dbb0310100,DBB-31.01,bp001000201,PERFORMED_IN
dbb0310100,DBB-31.01,bp001000701,PERFORMED_IN
dbb0310200,DBB-31.02,bp000220101,PERFORMED_IN
dbb0310200,DBB-31.02,bp001000201,PERFORMED_IN
dbb0310200,DBB-31.02,bp001000701,PERFORMED_IN
dbb0310300,DBB-31.03,bp000220101,PERFORMED_IN
dbb0310300,DBB-31.03,bp001000201,PERFORMED_IN
dbb0310300,DBB-31.03,bp001000701,PERFORMED_IN
dbb0310400,DBB-31.04,bp000220101,PERFORMED_IN
dbb0310400,DBB-31.04,bp001000201,PERFORMED_IN
dbb0310400,DBB-31.04,bp001000701,PERFORMED_IN
dbb0310500,DBB-31.05,bp000770101,PERFORMED_IN
dbb0310500,DBB-31.05,bp001000201,PERFORMED_IN
dbb0310500,DBB-31.05,bp001000701,PERFORMED_IN
dbb0310600,DBB-31.06,bp001000701,PERFORMED_IN
dbb0320000,DBB-32,bp001000701,PERFORMED_IN
dbb0320100,DBB-32.01,bp001000701,PERFORMED_IN
dbb0320200,DBB-32.02,bp001000701,PERFORMED_IN
dbb0320300,DBB-32.03,bp001000701,PERFORMED_IN
dbb0320400,DBB-32.04,bp001000701,PERFORMED_IN
dbb0330000,DBB-33,bp001000201,PERFORMED_IN
dbb0330000,DBB-33,bp001000301,PERFORMED_IN
dbb0330000,DBB-33,bp001000701,PERFORMED_IN
dbb0330100,DBB-33.01,bp001000201,PERFORMED_IN
dbb0330100,DBB-33.01,bp001000301,PERFORMED_IN
dbb0330100,DBB-33.01,bp001000401,PERFORMED_IN
dbb0330200,DBB-33.02,bp001000201,PERFORMED_IN
dbb0330200,DBB-33.02,bp001000301,PERFORMED_IN
dbb0330200,DBB-33.02,bp001000401,PERFORMED_IN
dbb0330300,DBB-33.03,bp001000201,PERFORMED_IN
dbb0330300,DBB-33.03,bp001000301,PERFORMED_IN
dbb0330300,DBB-33.03,bp001000401,PERFORMED_IN
dbb0340000,DBB-34,bp001000201,PERFORMED_IN
dbb0340000,DBB-34,bp001000301,PERFORMED_IN
dbb0340000,DBB-34,bp001000701,PERFORMED_IN
dbb0350000,DBB-35,bp001000201,PERFORMED_IN
dbb0350000,DBB-35,bp001000301,PERFORMED_IN
dbb0350000,DBB-35,bp001000701,PERFORMED_IN
dbb0360000,DBB-36,bp000220201,PERFORMED_IN
