START_ID,name,:END_ID,:TYPE
D9700,DoD,acqsys006763,UTILIZES
D9700,DoD,acqsys006766,UTILIZES
D9700,DoD,acqsys006771,UTILIZES
D9700,DoD,acqsys006823,UTILIZES
D9700,DoD,acqsys007515,UTILIZES
D9700,DoD,acqsys007528,UTILIZES
D9700,DoD,acqsys007894,UTILIZES
D9700,DoD,acqsys008426,UTILIZES
D9700,DoD,acqsys008726,UTILIZES
D9700,DoD,acqsys008727,UTILIZES
D9700,DoD,acqsys008868,UTILIZES
D9700,DoD,acqsys009026,UTILIZES
D9700,DoD,acqsys009027,UTILIZES
D9700,DoD,acqsys009028,UTILIZES
D9700,DoD,acqsys009328,UTILIZES
D9700,DoD,acqsys009474,UTILIZES
D9700,DoD,acqsys011013,UTILIZES
D9700,DoD,acqsys011018,UTILIZES
D9700,DoD,acqsys011330,UTILIZES
D9700,DoD,acqsys011857,UTILIZES
D9700,DoD,acqsys011975,UTILIZES
D9700,DoD,acqsys012245,UTILIZES
D9700,DoD,acqsys012357,UTILIZES
D9700,DoD,acqsys012359,UTILIZES
D9700,DoD,acqsys012509,UTILIZES
D9700,DoD,acqsys013296,UTILIZES
D9700,DoD,acqsys013416,UTILIZES
D9700,DoD,acqsys013867,UTILIZES
D9700,DoD,acqsys014249,UTILIZES
D9700,DoD,acqsys014576,UTILIZES
D9700,DoD,acqsys015079,UTILIZES
D9700,DoD,acqsys015080,UTILIZES
D9700,DoD,acqsys015081,UTILIZES
D9700,DoD,acqsys015451,UTILIZES
D9700,DoD,acqsys015864,UTILIZES
D9700,DoD,acqsys015869,UTILIZES
D9700,DoD,acqsys015872,UTILIZES
D9700,DoD,acqsys015874,UTILIZES
D9700,DoD,acqsys015891,UTILIZES
D9700,DoD,acqsys015896,UTILIZES
D9700,DoD,acqsys015913,UTILIZES
D9700,DoD,acqsys015916,UTILIZES
D9700,DoD,acqsys015921,UTILIZES
D9700,DoD,acqsys015922,UTILIZES
D9700,DoD,acqsys015925,UTILIZES
D9700,DoD,acqsys015926,UTILIZES
D9700,DoD,acqsys015927,UTILIZES
D9700,DoD,acqsys015928,UTILIZES
D9700,DoD,acqsys015929,UTILIZES
D9700,DoD,acqsys015972,UTILIZES
D9700,DoD,acqsys015973,UTILIZES
D9700,DoD,acqsys016048,UTILIZES
D9700,DoD,acqsys016074,UTILIZES
D9700,DoD,acqsys016095,UTILIZES
D9700,DoD,acqsys016096,UTILIZES
D9700,DoD,acqsys016131,UTILIZES
D9700,DoD,acqsys016243,UTILIZES
D9700,DoD,acqsys016247,UTILIZES
D9700,DoD,acqsys016561,UTILIZES
D9700,DoD,acqsys016575,UTILIZES
D9700,DoD,acqsys016582,UTILIZES
D9700,DoD,acqsys016756,UTILIZES
D9700,DoD,acqsys016987,UTILIZES
D9700,DoD,acqsys017162,UTILIZES
D9700,DoD,acqsys017222,UTILIZES
D9700,DoD,acqsys017552,UTILIZES
D9700,DoD,acqsys017612,UTILIZES
D9700,DoD,acqsys017666,UTILIZES
D9700,DoD,acqsys017690,UTILIZES
D9700,DoD,acqsys017713,UTILIZES
D9700,DoD,acqsys017832,UTILIZES
D9700,DoD,acqsys021654,UTILIZES
D9700,DoD,acqsys022255,UTILIZES
D9700,DoD,acqsys022681,UTILIZES
D9700,DoD,acqsys023257,UTILIZES
D9700,DoD,acqsys023315,UTILIZES
D9700,DoD,acqsys023317,UTILIZES
D9700,DoD,acqsys023318,UTILIZES
D9700,DoD,acqsys023456,UTILIZES
D9700,DoD,acqsys023457,UTILIZES
D9700,DoD,acqsys023496,UTILIZES
D9700,DoD,acqsys023497,UTILIZES
D9700,DoD,acqsys025926,UTILIZES
D9700,DoD,acqsys025946,UTILIZES
D9700,DoD,acqsys026689,UTILIZES
D9700,DoD,acqsys028617,UTILIZES
D9700,DoD,acqsys029283,UTILIZES
D9700,DoD,acqsys047700,UTILIZES
D9700,DoD,acqsys052022,UTILIZES
D8900,DOE,acqsys060001,UTILIZES
D8900,DOE,acqsys060080,UTILIZES
D1400,DOI,acqsys060070,UTILIZES
D1500,DOJ,acqsys060002,UTILIZES
D1500,DOJ,acqsys060071,UTILIZES
D1500,DOJ,acqsys060081,UTILIZES
D1600,DOL,acqsys060010,UTILIZES
A1700,DON,acqsys000392,UTILIZES
A1700,DON,acqsys000413,UTILIZES
A1700,DON,acqsys000422,UTILIZES
A1700,DON,acqsys000424,UTILIZES
A1700,DON,acqsys000425,UTILIZES
A1700,DON,acqsys000701,UTILIZES
A1700,DON,acqsys000703,UTILIZES
A1700,DON,acqsys000706,UTILIZES
A1700,DON,acqsys000738,UTILIZES
A1700,DON,acqsys000741,UTILIZES
A1700,DON,acqsys000754,UTILIZES
A1700,DON,acqsys000776,UTILIZES
A1700,DON,acqsys001240,UTILIZES
A1700,DON,acqsys001514,UTILIZES
A1700,DON,acqsys001525,UTILIZES
A1700,DON,acqsys001537,UTILIZES
A1700,DON,acqsys001553,UTILIZES
A1700,DON,acqsys001566,UTILIZES
A1700,DON,acqsys001585,UTILIZES
A1700,DON,acqsys004598,UTILIZES
A1700,DON,acqsys004645,UTILIZES
A1700,DON,acqsys005461,UTILIZES
A1700,DON,acqsys005538,UTILIZES
A1700,DON,acqsys005543,UTILIZES
A1700,DON,acqsys005614,UTILIZES
A1700,DON,acqsys005623,UTILIZES
A1700,DON,acqsys005645,UTILIZES
A1700,DON,acqsys005696,UTILIZES
A1700,DON,acqsys005704,UTILIZES
A1700,DON,acqsys006685,UTILIZES
A1700,DON,acqsys006688,UTILIZES
A1700,DON,acqsys006716,UTILIZES
A1700,DON,acqsys006717,UTILIZES
A1700,DON,acqsys006718,UTILIZES
A1700,DON,acqsys006720,UTILIZES
A1700,DON,acqsys006721,UTILIZES
A1700,DON,acqsys006722,UTILIZES
A1700,DON,acqsys006723,UTILIZES
A1700,DON,acqsys006724,UTILIZES
A1700,DON,acqsys006725,UTILIZES
A1700,DON,acqsys006726,UTILIZES
A1700,DON,acqsys006727,UTILIZES
A1700,DON,acqsys006729,UTILIZES
A1700,DON,acqsys006732,UTILIZES
A1700,DON,acqsys006734,UTILIZES
A1700,DON,acqsys006736,UTILIZES
A1700,DON,acqsys006737,UTILIZES
A1700,DON,acqsys006852,UTILIZES
A1700,DON,acqsys006904,UTILIZES
A1700,DON,acqsys006909,UTILIZES
A1700,DON,acqsys006910,UTILIZES
A1700,DON,acqsys007002,UTILIZES
A1700,DON,acqsys007069,UTILIZES
A1700,DON,acqsys008038,UTILIZES
A1700,DON,acqsys008402,UTILIZES
A1700,DON,acqsys008415,UTILIZES
A1700,DON,acqsys008552,UTILIZES
A1700,DON,acqsys008553,UTILIZES
A1700,DON,acqsys008740,UTILIZES
A1700,DON,acqsys008741,UTILIZES
A1700,DON,acqsys010125,UTILIZES
A1700,DON,acqsys012508,UTILIZES
A1700,DON,acqsys013529,UTILIZES
A1700,DON,acqsys013531,UTILIZES
A1700,DON,acqsys013581,UTILIZES
A1700,DON,acqsys013636,UTILIZES
A1700,DON,acqsys013673,UTILIZES
A1700,DON,acqsys014145,UTILIZES
A1700,DON,acqsys015814,UTILIZES
A1700,DON,acqsys016115,UTILIZES
A1700,DON,acqsys016391,UTILIZES
A1700,DON,acqsys017388,UTILIZES
A1700,DON,acqsys021372,UTILIZES
A1700,DON,acqsys029325,UTILIZES
D1900,DOS,acqsys060011,UTILIZES
D1900,DOS,acqsys060050,UTILIZES
D1900,DOS,acqsys060051,UTILIZES
D6900,DOT,acqsys060024,UTILIZES
D6900,DOT,acqsys060056,UTILIZES
D6900,DOT,acqsys060072,UTILIZES
D9100,ED,acqsys060015,UTILIZES
D4500,EEOC,acqsys060057,UTILIZES
#N/A,EOOTP,acqsys060030,UTILIZES
D6800,EPA,acqsys060022,UTILIZES
D8300,EXIM,acqsys060016,UTILIZES
D2700,FCC,acqsys060047,UTILIZES
D9506,FEC,acqsys060017,UTILIZES
D5400,FLRA,acqsys060031,UTILIZES
D6500,FMC,acqsys060032,UTILIZES
D9300,FMCS,acqsys060003,UTILIZES
D9504,FMSHRC,acqsys060033,UTILIZES
D2900,FTC,acqsys060058,UTILIZES
D0500,GAO,acqsys060025,UTILIZES
D0500,GAO,acqsys060048,UTILIZES
D4700,GSA,acqsys060004,UTILIZES
D4700,GSA,acqsys060012,UTILIZES
D4700,GSA,acqsys060019,UTILIZES
D4700,GSA,acqsys060021,UTILIZES
D4700,GSA,acqsys060039,UTILIZES
D7500,HHS,acqsys060013,UTILIZES
D7500,HHS,acqsys060041,UTILIZES
D7500,HHS,acqsys060043,UTILIZES
D7500,HHS,acqsys060073,UTILIZES
D8600,HUD,acqsys060034,UTILIZES
D3400,ITC,acqsys060074,UTILIZES
#N/A,JFKCFTPA,acqsys060005,UTILIZES
D9543,MCC,acqsys060006,UTILIZES
D4100,MSPB,acqsys060035,UTILIZES
D8800,NARA,acqsys060036,UTILIZES
D8000,NASA,acqsys060066,UTILIZES
