facetID:ID,name,title,:LABEL
persdisord01,Personality Disorder,Diagnosis,Domain
antago0001,Antagonism,Personality Disoder Facet,Facet
detach0001,Detachment,Personality Disoder Facet,Facet
disinh0001,Disinhibition,Personality Disoder Facet,Facet
negati0001,Negative Affectivity,Personality Disoder Facet,Facet
psycho0001,Psychoticism,Personality Disoder Facet,Facet
